species,trap,latitude,longitude,addressaccuracy,block,nummosquitos,wnvpresent,street,day,month,year,week,dayofweek,tmax,tmin,tavg,wetbulb,heat,cool,sunrise,sunset,stnpressure,sealevel,resultspeed,resultdir,avgspeed,precipbool,direction,winddir
1,74,41.731922,-87.677512,8,22,1,0, W 89TH ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
2,35,41.867108,-87.654224,8,11,1,0, W ROOSEVELT,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
2,37,41.919343,-87.694259,8,21,1,0, N STAVE ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,0,4
2,39,41.921965,-87.632085,8,22,2,0, N CANNON DR,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,0,4
2,65,41.688324,-87.676709,8,22,1,0, W 113TH ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
2,84,41.891126,-87.61156,5,53,1,0, N STREETER DR,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,0,4
3,32,41.9216,-87.666455,8,15,2,0, W WEBSTER AVE,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,33,41.891118,-87.654491,8,25,1,0, W GRAND AVE,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,35,41.867108,-87.654224,8,11,2,0, W ROOSEVELT,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,36,41.896282,-87.655232,8,11,1,0, W CHICAGO,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,39,41.921965,-87.632085,8,22,3,0, N CANNON DR,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,0,4
3,65,41.688324,-87.676709,8,22,1,0, W 113TH ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,69,41.862292,-87.64886,8,11,1,0, S PEORIA ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,2,4
3,71,41.720848,-87.666014,9,17,3,0, W 95TH ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,74,41.731922,-87.677512,8,22,5,0, W 89TH ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,1,4
3,84,41.891126,-87.61156,5,53,2,0, N STREETER DR,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,0,4
3,99,41.907645,-87.760886,8,15,1,0, N LONG AVE,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,0,4
3,105,41.732984,-87.649642,8,89,1,0, S CARPENTER ST,29,5,2007,22,1,88,65,77.0,66.0,0.0,12.0,421.0,1917.0,29.44,30.09,5.8,16,7.4,0,2,4
2,1,41.95469,-87.800991,9,41,1,0, N OAK PARK AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,0,4
2,13,41.974089,-87.824812,8,79,1,0, W FOSTER AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,1,4
2,89,41.999129,-87.795585,8,65,1,0, N OAK PARK AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,0,4
2,94,42.01743,-87.687769,8,75,1,0, N OAKLEY AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,0,4
3,1,41.95469,-87.800991,9,41,1,0, N OAK PARK AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,0,4
3,6,41.994991,-87.769279,9,62,1,0, N MANDELL AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,0,4
3,13,41.974089,-87.824812,8,79,4,0, W FOSTER AVE,29,5,2007,22,1,88,60,74.0,65.0,0.0,9.0,421.0,1917.0,29.39,30.11,5.8,18,6.5,0,1,4
1,1,41.95469,-87.800991,9,41,1,0, N OAK PARK AVE,5,6,2007,23,1,64,47,56.0,51.0,9.0,0.0,417.0,1923.0,29.1,29.79,5.2,5,7.6,1,0,2
2,1,41.95469,-87.800991,9,41,3,0, N OAK PARK AVE,5,6,2007,23,1,64,47,56.0,51.0,9.0,0.0,417.0,1923.0,29.1,29.79,5.2,5,7.6,1,0,2
2,13,41.974089,-87.824812,8,79,1,0, W FOSTER AVE,5,6,2007,23,1,64,47,56.0,51.0,9.0,0.0,417.0,1923.0,29.1,29.79,5.2,5,7.6,1,1,2
2,87,41.961743,-87.76007,9,53,1,0, W AGATITE AVE,5,6,2007,23,1,64,47,56.0,51.0,9.0,0.0,417.0,1923.0,29.1,29.79,5.2,5,7.6,1,1,2
